id,user_id,set_num,created_at
26453be1-6998-4c69-9f40-29e26c9667bb,aca98c2a-0201-4f69-ab05-1bd0c220d7ee,72151-1,"2026-02-20 22:14:38.078265+00"
49c10e69-6f75-44b4-8e72-10db455e5500,aca98c2a-0201-4f69-ab05-1bd0c220d7ee,72153-1,"2026-02-20 22:14:25.49444+00"
5fc1fa2b-c0bc-4af6-ada0-398ee743693a,acdf335c-f899-4e43-ae9d-39044b373ab0,21365-1,"2026-02-04 14:01:28.309719+00"
62ab9afd-b811-4e67-b488-8ac10118c29b,acdf335c-f899-4e43-ae9d-39044b373ab0,76458-1,"2026-02-04 14:01:45.290346+00"
6b5d74c6-74c2-4e1e-892f-3ef1f0971c04,aca98c2a-0201-4f69-ab05-1bd0c220d7ee,72152-1,"2026-02-20 22:16:56.108611+00"
71292098-a95a-48e2-ae6d-002f398587eb,aca98c2a-0201-4f69-ab05-1bd0c220d7ee,40892-1,"2026-02-20 22:14:28.711026+00"
9279763c-a85c-4981-8cd7-7ed59fdfef6a,acdf335c-f899-4e43-ae9d-39044b373ab0,21585-1,"2026-02-04 14:01:46.319466+00"
d7221fd1-89b1-4e86-a114-3a119605e525,acdf335c-f899-4e43-ae9d-39044b373ab0,72153-1,"2026-02-04 14:01:24.521776+00"
